;Unnamed: 0;Périmètre;Date;Heures;Consommation;temperature;nebulosite;region.code;prev_conso;workday;workday_2;sun;full date
0;6498;France;2017-07-12;00:00;48647.0;174.29166666666663;4.0962962962962965;FRANCE;45949.0;1;ouvre;0;2017-07-12 00:00:00
1;6499;France;2017-07-12;00:15;47599.0;173.16134259259258;4.08912037037037;FRANCE;44250.0;1;ouvre;0;2017-07-12 00:15:00
2;6500;France;2017-07-12;00:30;45671.0;172.03101851851852;4.081944444444445;FRANCE;44250.0;1;ouvre;0;2017-07-12 00:30:00
3;6501;France;2017-07-12;00:45;44013.0;170.9006944444444;4.0747685185185185;FRANCE;43201.0;1;ouvre;0;2017-07-12 00:45:00
4;6502;France;2017-07-12;01:00;43047.0;169.77037037037036;4.067592592592591;FRANCE;42888.0;1;ouvre;0;2017-07-12 01:00:00
5;6503;France;2017-07-12;01:15;43049.0;168.85555555555555;4.071296296296296;FRANCE;42280.0;1;ouvre;0;2017-07-12 01:15:00
6;6504;France;2017-07-12;01:30;42077.0;167.94074074074078;4.075;FRANCE;42363.0;1;ouvre;0;2017-07-12 01:30:00
7;6505;France;2017-07-12;01:45;42240.0;167.0259259259259;4.078703703703703;FRANCE;42363.0;1;ouvre;0;2017-07-12 01:45:00
8;6506;France;2017-07-12;02:00;41604.0;166.11111111111111;4.082407407407408;FRANCE;41423.0;1;ouvre;0;2017-07-12 02:00:00
9;6507;France;2017-07-12;02:15;42112.0;165.70162037037036;4.094212962962963;FRANCE;41423.0;1;ouvre;0;2017-07-12 02:15:00
10;6508;France;2017-07-12;02:30;41090.0;165.29212962962964;4.1060185185185185;FRANCE;41990.0;1;ouvre;0;2017-07-12 02:30:00
11;6509;France;2017-07-12;02:45;39972.0;164.88263888888886;4.117824074074076;FRANCE;40741.0;1;ouvre;0;2017-07-12 02:45:00
12;6510;France;2017-07-12;03:00;39386.0;164.47314814814808;4.129629629629629;FRANCE;38327.0;1;ouvre;0;2017-07-12 03:00:00
13;6511;France;2017-07-12;03:15;39209.0;164.92916666666662;4.168981481481481;FRANCE;38198.0;1;ouvre;0;2017-07-12 03:15:00
14;6512;France;2017-07-12;03:30;38641.0;165.38518518518518;4.208333333333333;FRANCE;38198.0;1;ouvre;0;2017-07-12 03:30:00
15;6513;France;2017-07-12;03:45;38388.0;165.84120370370368;4.247685185185185;FRANCE;38198.0;1;ouvre;0;2017-07-12 03:45:00
16;6514;France;2017-07-12;04:00;38165.0;166.29722222222225;4.287037037037037;FRANCE;36654.0;1;ouvre;0;2017-07-12 04:00:00
17;6515;France;2017-07-12;04:15;38471.0;167.55578703703702;4.344444444444443;FRANCE;36629.0;1;ouvre;0;2017-07-12 04:15:00
18;6516;France;2017-07-12;04:30;38326.0;168.81435185185185;4.401851851851851;FRANCE;37711.0;1;ouvre;0;2017-07-12 04:30:00
19;6517;France;2017-07-12;04:45;38352.0;170.07291666666666;4.45925925925926;FRANCE;37842.0;1;ouvre;0;2017-07-12 04:45:00
20;6518;France;2017-07-12;05:00;38775.0;171.33148148148157;4.516666666666667;FRANCE;38125.0;1;ouvre;0;2017-07-12 05:00:00
21;6519;France;2017-07-12;05:15;39587.0;173.21967592592594;4.561111111111111;FRANCE;38095.0;1;ouvre;0;2017-07-12 05:15:00
22;6520;France;2017-07-12;05:30;39785.0;175.10787037037042;4.605555555555556;FRANCE;38656.0;1;ouvre;0;2017-07-12 05:30:00
23;6521;France;2017-07-12;05:45;40375.0;176.99606481481484;4.650000000000001;FRANCE;38942.0;1;ouvre;0;2017-07-12 05:45:00
24;6522;France;2017-07-12;06:00;40454.0;178.8842592592593;4.6944444444444455;FRANCE;39280.0;1;ouvre;0;2017-07-12 06:00:00
25;6523;France;2017-07-12;06:15;41110.0;181.3476851851852;4.842361111111111;FRANCE;39637.0;1;ouvre;1;2017-07-12 06:15:00
